address,zipcode,lattitude,longitude
6200 S Drexel Ave,60637,41.781893,-87.604352
6781 S Lowe Ave,60621,41.771064,-87.640255
1824 S Wood St,60608,41.856825,-87.671063
1824 S Wood St,60608,41.856825,-87.671063
1801 South Wood Street,60608,41.857666,-87.67108
within Harrison Park Fieldhouse,60608,41.87371,-87.70587
4458-70 S Oakenwald Ave,60653,41.813657,-87.595026
4458 S Oakenwald Ave,60653,41.813657,-87.595026
1050 W Albion Ave,60626,42.002586,-87.658473
1123 West Farwell Avenue,60626,42.006818,-87.658846
1050 W Pratt Ave,60626,42.005235,-87.680291
6855 S Oglesby Ave,60649,41.770513,-87.568259
2936 W 85th St,60652,41.738657,-87.696483
5949 W Huron St,60644,41.892846,-87.774136
2500 West Lunt Avenue,60645,42.008606,-87.692536
13000 S Torrence Ave,60633,41.659172,-87.559127
