property_type,address,zip,price,beds,baths,location,sq_feet,latitude,longitude
Condo/Co-op,45 E Cedar St #200,60611,2269000.0,3.0,3.5,Near North Side,,41.902142,-87.6266205
Condo/Co-op,777 N Michigan Ave #3602,60611,159900.0,0.0,1.0,Near North Side,600.0,41.896415,-87.62385
Condo/Co-op,505 N Mcclurg Ct #1704,60611,419000.0,1.0,1.0,Near North Side,921.0,41.8914796,-87.6164532
Condo/Co-op,900 N Lake Shore Dr #403,60611,330000.0,2.0,2.0,Near North Side,1179.0,41.8996853,-87.6196674
Condo/Co-op,403 N Wabash Ave Unit 11B,60611,2437514.0,3.0,3.5,Near North Side,2517.0,41.8898415,-87.6264559
Condo/Co-op,401 E Ontario St #3202,60611,450000.0,2.0,2.0,Near North Side,1200.0,41.8932199,-87.6168477
Condo/Co-op,180 E Pearson St #6901,60611,2395000.0,3.0,3.0,Near North Side,2754.0,41.8978657,-87.6223555
Condo/Co-op,10 E Ontario St #2609,60611,325000.0,1.0,1.0,Near North Side,995.0,41.8936405,-87.6275331
Condo/Co-op,111 E Chestnut St Unit 16H,60611,339000.0,1.0,1.0,Near North Side,1000.0,41.8978884,-87.6251938
Condo/Co-op,179 E Lake Shore Dr #604,60611,489000.0,1.0,1.0,Near North Side,1300.0,41.9006308,-87.6226581
Condo/Co-op,505 N Mcclurg Ct #903,60611,899000.0,3.0,2.5,Near North Side,1803.0,41.8914796,-87.6164532
